lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,epoch
,1419,0.03152603283524513,0.03152603283524513,0.03152603283524513,0
0.0001,1429,,,,
0.0001,1429,,,,
,1429,0.03866572305560112,0.03866572305560112,0.03866572305560112,0
0.0001,1439,,,,
0.0001,1439,,,,
,1439,0.08263527601957321,0.08263527601957321,0.08263527601957321,0
0.0001,1449,,,,
0.0001,1449,,,,
,1449,0.027138713747262955,0.027138713747262955,0.027138713747262955,0
0.0001,1459,,,,
0.0001,1459,,,,
,1459,0.04579274356365204,0.04579274356365204,0.04579274356365204,0
0.0001,1469,,,,
0.0001,1469,,,,
,1469,0.12843748927116394,0.12843748927116394,0.12843748927116394,0
0.0001,1479,,,,
0.0001,1479,,,,
,1479,0.0842440277338028,0.0842440277338028,0.0842440277338028,0
0.0001,1489,,,,
0.0001,1489,,,,
,1489,0.1878698170185089,0.1878698170185089,0.1878698170185089,0
0.0001,1499,,,,
0.0001,1499,,,,
